date,location,minDeaths,maxDeaths,minCivilianDeaths,maxCivilianDeaths,minChildDeaths,maxChildDeaths,mapIndex,exactdate,longitude,latitude
2016,Ahmad Wal,2,2,1,1,0,0,31,21/05/2016,65.940999,29.39387
2011,Angor Adda,4,7,0,7,0,0,28,13/04/2011,69.327235,32.512128
2011,Angor Adda,3,5,0,0,0,0,28,10/05/2011,69.327235,32.512128
2011,Angor Adda,3,6,0,0,0,0,28,15/10/2011,69.327235,32.512128
2008,Azam Warsak,10,13,0,0,0,0,27,28/02/2008,69.428364,32.289881
2008,Azam Warsak,6,7,0,7,0,0,27,11/12/2008,69.428364,32.289881
2010,Azam Warsak,0,16,0,0,0,0,27,21/09/2010,69.428364,32.289881
2011,Azam Warsak,0,4,0,0,0,0,27,13/03/2011,69.428364,32.289881
2011,Azam Warsak,3,6,0,6,0,0,27,01/08/2011,69.428364,32.289881
2011,Azam Warsak,0,4,0,0,0,0,27,27/09/2011,69.428364,32.289881
2011,Azam Warsak,4,6,0,0,0,0,27,27/10/2011,69.428364,32.289881
2014,Azam Warsak,4,7,0,0,0,0,27,30/10/2014,69.428364,32.289881
2006,Bajaur Agency,81,83,80,82,68,70,1,30/10/2006,71.526301,34.78976
2010,Boya,13,13,8,13,2,2,12,12/04/2010,69.900424,32.942445
2010,Boya,11,11,10,10,7,7,12,21/05/2010,69.900424,32.942445
2011,Boya,4,4,0,0,0,0,12,01/01/2011,69.900424,32.942445
2006,Damadola,13,22,10,18,5,6,2,13/01/2006,71.427857,34.822516
2008,Damadola,12,20,4,6,1,4,2,14/05/2008,71.427857,34.822516
2009,Damadola,20,30,0,0,0,0,2,24/10/2009,71.427857,34.822516
2007,Danda Darpakhel,5,10,0,0,0,0,10,02/11/2007,70.037798,33.017017
2008,Danda Darpakhel,8,11,7,10,7,7,10,23/10/2008,70.037798,33.017017
2009,Danda Darpakhel,17,21,9,13,6,6,10,21/08/2009,70.037798,33.017017
2009,Danda Darpakhel,4,9,0,4,0,0,10,29/09/2009,70.037798,33.017017
2009,Danda Darpakhel,3,4,0,0,0,0,10,15/10/2009,70.037798,33.017017
2010,Danda Darpakhel,3,5,0,0,0,0,10,18/02/2010,70.037798,33.017017
2010,Danda Darpakhel,20,20,7,9,3,3,10,23/08/2010,70.037798,33.017017
2010,Danda Darpakhel,5,10,4,4,4,4,10,08/09/2010,70.037798,33.017017
2010,Danda Darpakhel,10,10,0,0,0,0,10,08/09/2010,70.037798,33.017017
2011,Danda Darpakhel,1,6,0,0,0,0,10,13/10/2011,70.037798,33.017017
2011,Danda Darpakhel,3,6,0,0,0,0,10,14/10/2011,70.037798,33.017017
2013,Danda Darpakhel,4,7,0,0,0,0,10,01/11/2013,70.037798,33.017017
2014,Danda Darpakhel,6,10,0,0,0,0,10,12/06/2014,70.037798,33.017017
2014,Danda Darpakhel,4,8,0,0,0,0,10,18/06/2014,70.037798,33.017017
2008,Datta Khel,3,3,3,3,1,1,6,03/10/2008,70.433389,33.147169
2008,Datta Khel,17,21,7,14,3,3,6,03/10/2008,70.433389,33.147169
2009,Datta Khel,13,15,8,13,3,5,6,04/04/2009,70.433389,33.147169
2009,Datta Khel,2,2,0,0,0,0,6,17/12/2009,70.433389,33.147169
2010,Datta Khel,7,11,0,0,0,0,6,16/03/2010,70.433389,33.147169
2010,Datta Khel,5,10,0,4,0,0,6,09/05/2010,70.433389,33.147169
2010,Datta Khel,8,14,0,4,0,0,6,11/05/2010,70.433389,33.147169
2010,Datta Khel,2,4,0,0,0,0,6,03/09/2010,70.433389,33.147169
2010,Datta Khel,7,8,0,0,0,0,6,04/09/2010,70.433389,33.147169
2010,Datta Khel,2,4,0,0,0,0,6,25/09/2010,70.433389,33.147169
2010,Datta Khel,6,14,3,6,0,0,6,13/10/2010,70.433389,33.147169
2010,Datta Khel,6,7,1,1,1,1,6,18/10/2010,70.433389,33.147169
2010,Datta Khel,3,6,0,0,0,0,6,07/11/2010,70.433389,33.147169
2011,Datta Khel,4,5,0,0,0,0,6,01/01/2011,70.433389,33.147169
2011,Datta Khel,2,5,0,0,0,0,6,23/01/2011,70.433389,33.147169
2011,Datta Khel,2,3,0,0,0,0,6,23/01/2011,70.433389,33.147169
2011,Datta Khel,5,5,0,0,0,0,6,09/03/2011,70.433389,33.147169
2011,Datta Khel,3,5,0,0,0,0,6,16/03/2011,70.433389,33.147169
2011,Datta Khel,26,42,19,41,0,1,6,17/03/2011,70.433389,33.147169
2011,Datta Khel,5,8,0,0,0,0,6,12/05/2011,70.433389,33.147169
2011,Datta Khel,3,5,0,0,0,0,6,13/05/2011,70.433389,33.147169
2011,Datta Khel,13,15,0,4,0,0,6,12/07/2011,70.433389,33.147169
2011,Datta Khel,1,9,1,1,0,0,6,12/07/2011,70.433389,33.147169
2011,Datta Khel,4,6,4,4,0,0,6,30/10/2011,70.433389,33.147169
2012,Datta Khel,5,9,0,0,0,0,6,12/01/2012,70.433389,33.147169
2012,Datta Khel,0,2,0,0,0,0,6,23/01/2012,70.433389,33.147169
2012,Datta Khel,1,5,0,0,0,0,6,23/05/2012,70.433389,33.147169
2012,Datta Khel,2,5,0,0,0,0,6,28/05/2012,70.433389,33.147169
2013,Datta Khel,1,3,0,0,0,0,6,10/03/2013,70.433389,33.147169
2013,Datta Khel,1,4,0,0,0,0,6,22/03/2013,70.433389,33.147169
2013,Datta Khel,4,6,0,0,0,0,6,14/04/2013,70.433389,33.147169
2013,Datta Khel,1,4,0,0,0,0,6,30/09/2013,70.433389,33.147169
2014,Datta Khel,6,7,0,0,0,0,6,10/07/2014,70.433389,33.147169
